strategy,type,ticker,entry_date,exit_date,year,shares,entry_price,exit_price,invested,return_pct,pl_dollars,running_cash
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-12,2022,30.9219,323.4,280.29,10000,-13.33,-1333.02,8666.98
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-13,2022,30.9219,323.4,288.35,10000,-10.84,-1083.67,7583.31
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-16,2022,30.9219,323.4,292.67,10000,-9.5,-950.1,6633.21
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-17,2022,30.9219,323.4,296.86,10000,-8.2,-820.45,5812.77
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-18,2022,30.9219,323.4,294.03,10000,-9.08,-908.19,4904.58
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-19,2022,30.9219,323.4,282.08,10000,-12.78,-1277.54,3627.04
EMA_12_26,EMA,QQQ,2022-05-19,2024-12-02,2024,35.4509,282.08,511.22,10000,81.23,8123.18,11750.22
EMA_12_26,EMA,QQQ,2022-05-24,2024-12-02,2024,35.5936,280.95,511.22,10000,81.96,8196.14,19946.36
EMA_12_26,EMA,QQQ,2022-06-16,2024-12-02,2024,37.2132,268.72,511.22,10000,90.24,9024.11,28970.48
EMA_12_26,EMA,QQQ,2022-10-11,2024-12-02,2024,38.6004,259.06,511.22,10000,97.33,9733.32,38703.79
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-03,2022,30.846,324.19,263.34,10000,-18.77,-1876.99,8123.01
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-04,2022,30.846,324.19,273.05,10000,-15.78,-1577.51,6545.5
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-05,2022,30.846,324.19,272.36,10000,-15.99,-1598.94,4946.56
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-11,2022,30.846,324.19,259.06,10000,-20.09,-2008.91,2937.64
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-12,2022,30.846,324.19,257.79,10000,-20.48,-2048.16,889.48
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-13,2022,30.846,324.19,249.73,10000,-22.97,-2296.92,-1407.44
MACD_12_26,MACD,QQQ,2022-10-13,2024-12-04,2024,40.0437,249.73,519.13,10000,107.88,10787.74,9380.31
MACD_12_26,MACD,QQQ,2022-11-09,2024-12-04,2024,38.1593,262.06,519.13,10000,98.1,9809.53,19189.83
