strategy,ticker,entry_date,exit_date,action,entry_price,exit_price,shares,investment,return_pct
GoldenCross,TSLA,2024-05-17,2024-08-20,BUY,173.55,224.88,2,347.1,0.29
GoldenCross,TSLA,2024-05-17,2025-02-10,BUY,173.55,356.21,2,347.1,1.05
GoldenCross,TSLA,2024-05-17,2025-07-11,BUY,173.55,307.89,1,173.55,0.77
GoldenCross,TSLA,2024-09-24,2025-07-11,BUY,254.08,307.89,1,254.08,0.21
GoldenCross,TSLA,2024-09-24,2025-11-24,BUY,254.08,402.17,2,508.16,0.58
GoldenCross,TSLA,2025-05-07,2026-01-28,BUY,276.88,431.91,2,553.76,0.56
DeathCross,TSLA,2021-07-06,2021-12-22,SELL,227.24,321.89,2,454.47,-0.42
DeathCross,TSLA,2021-07-06,2022-01-27,SELL,227.24,311.12,2,454.47,-0.37
DeathCross,TSLA,2022-01-20,2022-05-10,SELL,336.58,273.1,2,673.15,0.19
DeathCross,TSLA,2022-03-30,2022-05-10,SELL,363.72,273.1,1,363.72,0.25
DeathCross,TSLA,2022-03-30,2022-09-30,SELL,363.72,266.15,1,363.72,0.27
DeathCross,TSLA,2022-07-21,2022-09-30,SELL,255.11,266.15,2,510.21,-0.05
DeathCross,TSLA,2022-07-21,2023-04-03,SELL,255.11,199.91,1,255.11,0.21
DeathCross,TSLA,2023-02-08,2023-04-03,SELL,196.1,199.91,3,588.3,-0.02
DeathCross,TSLA,2023-02-08,2023-08-16,SELL,196.1,228.02,1,196.1,-0.16
DeathCross,TSLA,2023-06-05,2023-08-16,SELL,217.8,228.02,2,435.6,-0.05
DeathCross,TSLA,2023-06-05,2023-10-24,SELL,217.8,216.5,2,435.6,0.0
DeathCross,TSLA,2023-09-21,2023-10-24,SELL,257.85,216.5,2,515.7,0.16
DeathCross,TSLA,2023-09-21,2024-01-23,SELL,257.85,211.3,1,257.85,0.18
DeathCross,TSLA,2023-12-08,2024-01-23,SELL,240.27,211.3,3,720.81,0.12
DeathCross,TSLA,2023-12-08,2024-08-20,SELL,240.27,224.88,1,240.27,0.06
DeathCross,TSLA,2024-05-17,2024-08-20,SELL,173.55,224.88,2,347.1,-0.3
DeathCross,TSLA,2024-05-17,2025-02-10,SELL,173.55,356.21,1,173.55,-1.06
DeathCross,TSLA,2024-05-17,2025-07-11,SELL,173.55,307.89,2,347.1,-0.78
DeathCross,TSLA,2024-09-24,2025-11-24,SELL,254.08,402.17,1,254.08,-0.59
DeathCross,TSLA,2024-09-24,2026-01-28,SELL,254.08,431.91,1,254.08,-0.7
GoldenCross,NVDA,2021-10-13,2021-10-29,SELL,20.87,24.95,34,709.71,-0.2
GoldenCross,NVDA,2021-10-13,2022-03-29,SELL,20.87,28.64,13,271.36,-0.37
