Date,Close,High,Low,Open,Volume
2021-03-29,288.5555419921875,290.8971513555851,282.4832001190205,283.5448455683828,21718800
2021-03-30,285.75750732421875,290.19270318034495,284.46764179897343,287.57324482882785,17474500
2021-03-31,292.2366943359375,294.1913564992557,286.3627760195834,287.732035744542,19498200
2021-04-01,296.33447265625,300.04534127023726,294.2905153713312,296.07648746962576,17616000
2021-04-05,306.5047912597656,308.35029452987163,298.33886018105164,298.54724689603603,28237000
2021-04-06,303.87542724609375,308.92579217307605,302.87328155529036,306.4353256883892,17335200
2021-04-07,310.6521911621094,311.8031627153539,303.12129263179196,303.95474852621874,22855200
2021-04-08,310.58270263671875,313.4204493921913,307.63582691524516,312.39847055437156,20894100
2021-04-09,310.0270690917969,312.28931500618273,307.9136491691553,308.97532504352716,15988600
2021-04-12,309.1142272949219,309.7194630445456,305.53232052434765,308.6280220501896,10881900
2021-04-13,307.34808349609375,311.98170388654387,306.9115071052222,309.7789885616756,14036900
2021-04-14,300.4621276855469,305.63155202989105,299.5989067038952,304.9072252057683,17421400
2021-04-15,305.4231872558594,307.7251299969415,301.73215157790185,303.95470027690254,14558300
2021-04-16,303.7959289550781,306.5443797906979,302.2381464580605,305.7704544545926,13059200
2021-04-19,299.88665771484375,305.30416629522637,298.2197459731686,302.6351090312537,14553500
2021-04-20,300.2934265136719,302.72436183660926,294.89578234939887,299.6385619334526,16796400
2021-04-21,299.1226501464844,299.6286887973505,295.074431779428,299.5989235990618,14863500
2021-04-22,294.211181640625,300.5613732471118,293.7349384661089,298.98372689165404,16375400
2021-04-23,298.7852783203125,300.23390165965907,294.8362573958426,296.433736995222,17536800
2021-04-26,300.680419921875,303.41890888662624,299.2119328828372,300.97807189197096,16172600
2021-04-27,301.2063293457031,302.9625367473814,298.76546176782614,301.9107926157603,15309300
2021-04-28,304.70880126953125,308.49906447197213,302.9922608483322,304.9667562140213,33907200
2021-04-29,326.9443664550781,329.22644599603484,319.10585351013765,327.5496023156073,56526800
2021-04-30,322.5487976074219,327.25191086363225,321.97332701790543,323.6005719261197,26332400
2021-05-03,320.0682373046875,325.99175347728556,319.33400895885666,323.6303106363787,18719500
2021-05-04,315.881103515625,319.68129851653737,310.68191400122157,317.5281817062086,24032600
2021-05-05,312.567138671875,318.56011770266906,312.04126663923637,315.712469321402,15577600
2021-05-06,317.5281982421875,317.746486454234,310.8307561707074,312.0710232209815,19012200
2021-05-07,316.5954895019531,320.42544959034336,316.2680723502295,319.8698124189637,15916700
2021-05-10,303.587646484375,312.1305924552787,302.4565082593985,311.9024026688074,24239200
2021-05-11,304.14324951171875,304.45083332141724,297.3565117661836,298.40825581482176,18920100
2021-05-12,300.1941833496094,302.58542152646083,295.8681470090487,298.78525713151794,24645500
2021-05-13,302.8831481933594,306.45509310591166,300.41251561689637,303.69674037279856,18079200
2021-05-14,313.47998046875,314.38289851654434,306.67337913920693,307.1298192160858,19245700
2021-05-17,313.0036926269531,313.2219808293489,309.1538990283127,311.10856102432524,15401300
2021-05-18,307.5465087890625,314.0355939964766,307.3976828099841,313.1326760167942,14522400
2021-05-19,311.1483154296875,312.2099914407722,301.2063442614852,301.82151195988223,19106200
2021-05-20,316.1291198730469,316.76415102969173,310.72157461701875,311.1382873186088,17320200
2021-05-21,313.76776123046875,317.43893389264736,313.3510181373768,316.8039328459837,13600900
2021-05-24,322.102294921875,323.41202409677993,315.5536793273055,315.7322705020775,16445400
2021-05-25,325.2377014160156,326.6168625616901,322.27096218906894,324.53320796495933,16437000
2021-05-26,325.10870361328125,327.2617901142244,323.2830342689029,325.79333340241755,9686900
2021-05-27,330.1590881347656,331.18106697098676,324.215738131107,325.44607335297707,20477700
2021-05-28,326.1703796386719,330.27812809646827,325.77346998443005,328.42269355471336,12037400
2021-06-01,326.5672912597656,328.839469050858,324.0966889019142,327.57933830612393,11765900
2021-06-02,326.5871276855469,329.2859501143572,324.5729351203657,327.80756141635504,11654300
2021-06-03,323.5013122558594,324.8308747707798,320.961248006466,323.24332704492036,12610800
2021-06-04,327.77777099609375,329.8713271716394,322.6480133267942,323.36240833474403,13289400
2021-06-07,333.959228515625,335.060601318784,326.36880079638615,326.9145364253234,20136700
2021-06-08,331.08184814453125,335.66587042753156,329.65305804593925,334.0783527890586,14580500
2021-06-09,327.6785583496094,334.17754565379573,327.4305049367785,333.1258016057894,13727900
2021-06-10,329.8713073730469,331.33979432346086,325.9917487704963,328.2143277062519,13240200
2021-06-11,328.6806640625,330.2384162938498,326.3687895778356,329.99036291102897,13587900
2021-06-14,334.1477966308594,334.19742548380253,327.24199776174,329.31572075979597,12250800
2021-06-15,334.1279296875,337.27326012162166,332.42132108487635,334.3660512618339,15795200
2021-06-16,328.5020751953125,334.9216985906193,326.16046556361823,334.0783412293465,17232200
2021-06-17,333.88983154296875,335.348386848026,327.5793368606947,327.9166858746589,17794100
2021-06-18,327.0931091308594,333.53256511705314,326.43824458108406,331.9251840766744,23039500
2021-06-21,329.70263671875,330.3277360767431,325.09875148397424,328.51196839114846,11337500
2021-06-22,336.3901672363281,337.2732518527593,330.0102412140811,330.09953680226704,15345300
2021-06-23,337.93804931640625,340.7460309516775,335.5666743971073,336.7077140585252,14817800
2021-06-24,340.50787353515625,342.214482226336,339.1287123056329,339.18824270230544,12329100
2021-06-25,338.7119445800781,341.4405319220191,337.0351012093616,339.9224463575193,14594400
2021-06-28,352.8708801269531,355.351414273791,339.1088512451318,339.79348109205574,29156100
2021-06-29,349.15008544921875,353.9622975602913,346.3321719592447,353.49595592074894,21417300
2021-06-30,345.0025939941406,350.17204882576885,344.466820433669,349.4278886007124,15107500
2021-07-01,351.6305847167969,351.90840330765593,343.80200504587583,344.1195206582734,17137000
2021-07-02,351.93817138671875,353.66461333834536,349.8743501691839,352.3350507654891,11521300
2021-07-06,350.0330810546875,355.99629394291753,346.4611063605734,353.72411652527984,13488500
2021-07-07,347.760986328125,353.71426880724357,347.27481128191766,352.493865278199,14218900
2021-07-08,342.9586486816406,345.61777404774114,339.89271207759845,343.0380427319482,14406500
2021-07-09,347.6915588378906,347.9792790264999,342.58163375380906,342.63126260974786,13018700
2021-07-12,350.41015625,351.43213503991996,346.91757530230257,348.4951912820845,10018600
2021-07-13,349.3485107421875,355.69867223428014,346.084119258612,348.7631083049435,11456000
2021-07-14,344.9232482910156,352.43431315647945,344.0302620301716,351.7992818634606,13894200
2021-07-15,341.7779235839844,346.5108023254573,337.57094717374997,346.5108023254573,14781600
2021-07-16,338.5036315917969,343.2960104688672,337.4915845124047,342.2244329895084,11026100
2021-07-19,334.3263854980469,337.1442684957518,331.9351470822577,334.9415530868475,14372300
2021-07-20,338.99969482421875,340.77576560791334,331.8954419693958,336.16194824446416,11024300
2021-07-21,343.53411865234375,343.82183878893244,338.59288412390543,338.84093751886803,9279700
2021-07-22,348.4554748535156,348.80275564782727,342.5220269951363,343.9805821072819,12385400
2021-07-23,366.91064453125,372.40748560789234,354.4087481746398,358.09978366506846,33694300
2021-07-26,369.55987548828125,371.5244693516764,365.35289943975135,366.7022954251453,14925200
2021-07-27,364.9461364746094,370.24455425889295,361.7115099643694,369.0142189001339,15705400
2021-07-28,370.3735656738281,374.61030769470665,364.07300199428255,371.64359812533013,29676900
2021-07-29,355.52996826171875,362.6738876890814,353.96225388818993,358.18909332168226,33413200
2021-07-30,353.5257263183594,357.92125598632435,350.1919028478955,351.24364693893176,15976200
2021-08-02,349.2095642089844,356.6015368440314,348.00896403538354,355.31167136622435,13180400
2021-08-03,348.5050964355469,351.01539564143263,344.9926820804049,349.98351529526695,12406100
2021-08-04,356.1253356933594,357.67318656110393,348.7730289315938,349.6759469844377,14180600
2021-08-05,360.1437683105469,361.06651968292107,354.121024546421,356.8397103759352,10247200
2021-08-06,360.6796569824219,362.30687190879036,358.58607006744313,358.58607006744313,8925000
2021-08-09,358.79437255859375,362.9319169074044,357.94108333229246,360.92765618426364,7798900
2021-08-10,358.3180847167969,361.26496017610475,356.2443620276476,359.0126160349106,7469900
2021-08-11,357.1571960449219,359.5385026093773,355.0239428784297,359.2805476658655,8400300
2021-08-12,359.8263244628906,360.17360534497317,354.32945159438793,355.6590447177854,7170700
2021-08-13,360.3521423339844,361.8206294212598,358.6653973147733,360.143785948073,7195700
2021-08-16,363.7058410644531,364.09281893078384,354.59732682572513,359.69728935252357,11222100
2021-08-17,355.658935546875,361.8305046302032,352.3052491252659,360.1536614193987,12328700
2021-08-18,352.6823425292969,357.05797793706466,352.384660276008,353.4761013114874,10042400
2021-08-19,352.3548583984375,354.7857936207644,348.2669435637918,348.6142243498319,12004500
2021-08-20,356.57183837890625,357.1870060382135,350.5590256805761,351.83898985298094,8697700
2021-08-23,360.52081298828125,362.8425891488838,356.3039052424102,356.64125422848525,10942000
2021-08-24,362.66400146484375,365.0949066090898,359.02256424131787,360.82840025472757,9235100
2021-08-25,365.5215759277344,367.97231440598324,362.5548367278309,362.75329155616987,9684500
2021-08-26,361.54278564453125,366.56338388860024,361.2947322519193,365.5116399263221,7888700
2021-08-27,369.72857666015625,370.8299192755366,361.2451317980848,362.2572090986586,11219100
2021-08-30,377.696044921875,378.5195689135399,367.63498415552175,369.65910844389265,13547300
2021-08-31,376.42596435546875,379.77965084701674,375.8504635658198,376.99153332048314,12345400
2021-09-01,379.0751647949219,381.3374104188179,375.8604026662153,376.63432800386516,11567200
2021-09-02,372.3579406738281,378.77756425764454,371.14743879885947,378.5295108429375,14832900
2021-09-03,373.33026123046875,374.223247324552,370.20476448124776,371.83200915575986,7509600
2021-09-07,379.2042541503906,379.97817968550464,370.24456495235586,372.9533194652357,10793800
2021-09-08,374.6300964355469,377.90438920545546,371.8717438371521,377.1999260274363,11067200
2021-09-09,375.0567932128906,376.87253103145304,373.6379348337995,374.6996108013545,9098900
2021-09-10,375.74139404296875,380.8016897745919,375.3147494355466,378.39058756343474,11549600
2021-09-13,373.5783386230469,378.7775280081508,371.43515369148867,378.7080657914906,13026300
2021-09-14,373.5982360839844,375.64219395380354,372.18927925840063,374.46145718784504,8711600
2021-09-15,371.0085754394531,374.62021771190757,364.80723955684,374.0645804392223,17940300
2021-09-16,370.15521240234375,370.65131921468594,366.8312907036599,369.8873256244635,11934200
2021-09-17,361.880126953125,368.51803802109464,358.7744936986694,368.51803802109464,26299000
2021-09-20,352.9303894042969,358.2188745657045,347.0763049441087,356.50233413802766,19822800
2021-09-21,354.696533203125,357.2365976294864,352.4243555514342,355.70858018739267,11751900
2021-09-22,340.53759765625,347.1159782146659,338.0372304577377,344.5263154319161,43692900
2021-09-23,343.2662353515625,346.9473698962506,340.32929134487557,342.67090108913663,21806300
2021-09-24,350.2117614746094,351.59095314020857,339.7042213530986,340.56744248252033,18801900
2021-09-27,350.826904296875,352.3846870622932,344.3775152914721,347.0862695745265,15205800
2021-09-28,337.99755859375,346.87788247328035,336.2810484357312,345.26056945182785,21710300
2021-09-29,336.96563720703125,342.5419029260096,336.24134067745075,340.4780817360786,14452200
2021-09-30,336.7474060058594,340.1308279140143,335.5170404865727,337.7991500549551,16547100
2021-10-01,340.33917236328125,342.3335009667382,336.00320408517933,338.950049198345,14905300
2021-10-04,323.6898498535156,333.32423531875986,320.18733709756447,332.9174241139099,42885000
2021-10-05,330.3674621582031,332.5701777639631,323.6204211697277,326.02156134576114,35377900
2021-10-06,331.0421447753906,331.7763731159524,323.26316386368603,327.1724876898397,26443000
2021-10-07,326.6565856933594,336.201676355274,326.4184641021134,334.3760068358188,28307500
2021-10-08,327.4800720214844,330.8039934898283,326.1505094901377,328.92872561470415,15946100
2021-10-11,322.9159240722656,327.8868935538608,322.7769996356763,325.07894242521274,14708200
2021-10-12,321.24896240234375,321.85422839876105,314.89880189213005,320.5147340827116,31658700
2021-10-13,322.01300048828125,324.4538373921097,320.1476341318763,324.4240721962077,14761500
2021-10-14,325.971923828125,327.9464191482135,324.5530656863524,325.8032341975856,14302200
2021-10-15,322.23126220703125,326.50769991996634,319.99878185796035,326.12072212508343,21596400
2021-10-18,332.7289123535156,333.2746480135661,324.94996119096635,326.38868305478695,21585000
2021-10-19,337.3426818847656,339.7934506132104,334.65379158917005,337.00533290465023,18786300
2021-10-20,338.1265563964844,341.3016520941956,336.8069256043469,340.77578008650755,13639500
2021-10-21,339.2179870605469,339.6446316371412,335.1697386557774,337.63043926024426,16354400
2021-10-22,322.08245849609375,327.06339039987455,318.60971071997267,323.80893083802226,35224500
2021-10-25,326.1306457519531,326.9938666204369,317.23048977283963,317.8059602585115,38409000
2021-10-26,313.35101318359375,327.638884727191,307.18937444715965,325.70408613688915,65654000
2021-10-27,309.7889404296875,316.7642010297312,309.63018261546694,311.74360248983976,29971800
2021-10-28,314.4523620605469,322.98537519345757,305.7109319804182,310.5529394184158,50806800
2021-10-29,321.05059814453125,323.4616701981431,317.1115084956438,317.6969109522846,37059400
2021-11-01,327.41064453125,330.8536268282647,323.46162362425594,323.50132064541936,31518900
2021-11-02,325.5254211425781,332.1831961301534,321.27874819042154,328.7997441561289,28353000
2021-11-03,329.0378723144531,329.56374431625284,320.6834506798263,324.94002526271333,20786500
2021-11-04,333.2349853515625,334.64391188324623,330.0598893219194,331.40931573250367,22495300
2021-11-05,338.4738464355469,344.0897793143083,336.99545779027494,337.6602239773612,26872800
2021-11-08,335.9833984375,342.1053702931129,335.7055798125427,341.73825606870065,18342500
2021-11-09,332.7586669921875,338.6524181419945,331.8656808167528,337.3526207608711,17556700
2021-11-10,325.0888977050781,330.59567139945983,322.97547776703135,329.90110972631356,21872600
2021-11-11,325.1880798339844,329.8713292985275,324.4538514499528,327.2519011057933,12376600
2021-11-12,338.2357482910156,339.1981665270857,327.21223815711136,327.60911758764775,25414300
2021-11-15,344.8537902832031,350.89636806742686,340.5277530964521,341.6588609660316,25076600
2021-11-16,340.2895812988281,343.95085205070313,338.2158584260246,341.15280232033473,18181100
2021-11-17,338.1166687011719,344.5958232777505,337.4519024454214,341.5596516250175,13602800
2021-11-18,336.05279541015625,339.7934294341239,332.6891770840266,337.07477411208635,17487200
2021-11-19,342.6113586425781,349.35842957953895,337.2534110290804,339.53552057480016,26488500
2021-11-22,338.35479736328125,351.0749537528082,337.8586905223181,346.3321735643987,27116800
2021-11-23,334.6240539550781,338.741734552648,330.903252762101,336.29096562234207,17225000
2021-11-24,338.4043884277344,339.1187834740705,330.2186257334472,333.3837897309682,13566200
2021-11-26,330.5262451171875,335.12019970178665,329.31574311061917,333.18537074474375,14750700
2021-11-29,335.3979797363281,338.01743831325274,332.6991573903865,334.26687191807986,16650900
2021-11-30,321.9336242675781,333.1952549665662,320.9116454450948,332.3915643527665,25390000
2021-12-01,308.18157958984375,327.92662605582126,307.8739957669234,327.71826965834975,30329600
2021-12-02,307.97314453125,312.15035464008247,304.80798123160264,308.9752595164392,24396200
2021-12-03,304.4508361816406,311.30703621441194,297.1679915417255,311.287202841972,27471000
2021-12-06,315.3949279785156,317.6075751777738,303.9547065343744,305.7307773330619,21758300
2021-12-07,320.2964172363281,323.9973842578225,318.50051333741357,319.0660822637991,18794000
2021-12-08,327.9861145019531,330.15906463751605,320.5544445697957,322.46940948818246,19937700
2021-12-09,327.2519226074219,333.51278849439655,325.44608644592824,326.97410398872734,16879200
2021-12-10,327.1824035644531,332.42128966430977,323.82871706978085,329.9705210935841,14528000
2021-12-13,331.8855285644531,338.43414460124114,327.0236878165198,328.37311410359496,22948700
2021-12-14,331.1413269042969,333.0860871840918,325.09875026625247,325.4956296139819,20461000
2021-12-15,338.99969482421875,339.44617276651826,321.4573660255817,329.9010829872585,24681300
2021-12-16,332.2923889160156,341.77795023184626,331.14141729744705,336.34063809580334,22635000
2021-12-17,331.19097900390625,334.4851050733317,328.1746412454397,330.20866697035297,40012600
2021-12-20,322.9159240722656,327.3312563674149,320.0186470744069,327.2121955817415,17901800
2021-12-21,331.5977478027344,333.383719904528,321.2291051163421,323.86839653251377,16116800
2021-12-22,327.87701416015625,331.90539917403015,325.7040638349438,331.2009056779404,16764600
2021-12-23,332.62969970703125,334.0485882622083,325.80326484001887,327.52973720926553,13987700
2021-12-27,343.4844970703125,345.1613404781223,335.3781289082556,336.2115846993633,17795000
2021-12-28,343.5242004394531,349.9636571382656,342.51215344868643,343.9310116569067,16637600
2021-12-29,340.2697448730469,346.9671868790593,338.97987926535325,344.20883419741097,10747000
2021-12-30,341.67864990234375,344.5263282790015,340.54754217986994,341.3214675520747,10593300
2021-12-31,333.7310485839844,340.7658393357724,333.6516545396448,340.34909630287945,12870500
2022-01-03,335.9039611816406,338.4241616281586,334.5644669229285,335.66580935523353,14537900
2022-01-04,333.90966796875,340.41858727642335,329.2859485939772,337.3030520719377,15998000
2022-01-05,321.6459045410156,333.1456568355286,321.318457087581,330.4269709092636,20564500
2022-01-06,329.8713073730469,336.5290820753032,320.20715711438896,320.30638452508464,27962800
2022-01-07,329.20654296875,334.37596709741774,326.3191978982015,330.1491276753842,14722000
2022-01-10,325.5155334472656,325.78342022706335,312.9739386071096,322.77701413394965,24942400
2022-01-11,331.7664794921875,332.0244647355846,322.7472608791002,324.235581381853,16226800
2022-01-12,330.6651611328125,333.7509313340387,327.4602998474573,332.570194559432,14104900
2022-01-13,323.93792724609375,333.0166761967169,323.22353219830933,332.37174337245716,14797100
2022-01-14,329.31573486328125,330.1392892257927,318.7089675405318,319.2844684675813,16868500
2022-01-18,315.6727600097656,321.6855721790978,315.1667516493473,320.7727525971954,22645600
2022-01-19,317.1015319824219,324.55306560102997,316.84354676400187,317.0916001571118,20814700
2022-01-20,314.0951843261719,325.2675209136267,313.5197136706013,321.3780296650762,16925000
2022-01-21,300.8094482421875,315.83154828865156,300.6804556131822,312.3588002521819,28710700
2022-01-24,306.3062438964844,307.1198662942084,286.7596546601461,295.52088719382215,38878100
2022-01-25,297.8128967285156,303.84557218580625,295.26290058857546,297.6144721826559,25108500
2022-01-26,292.3359069824219,305.1156233960731,288.58534066797705,304.61951658051186,28348800
2022-01-27,292.3458557128906,299.3607834777899,291.96880966646864,295.4316257497335,21629900
2022-01-28,299.3608093261719,299.5493323656609,290.74840103357474,293.3182310750774,21871600
2022-01-31,310.8208312988281,311.3467032774815,296.98937176977,298.338767684822,21579500
2022-02-01,316.51611328125,317.1709778388746,309.6896794102035,312.11068282446894,18023800
2022-02-02,320.4850158691406,325.44608422624805,314.40274121853355,325.26749303258214,58458300
2022-02-03,235.90870666503906,246.06897966279848,233.91436272380943,242.74505795410397,188119900
2022-02-04,235.24391174316406,240.72093489028182,228.31826526183067,233.14042381897158,89342200
2022-02-07,223.15878295898438,236.4445235617217,222.26578156076954,235.84918929624516,88613800
2022-02-08,218.46560668945312,224.01209281668258,214.46698666236793,219.1304031961712,94729700
2022-02-09,230.19354248046875,231.55287019256502,220.479778534801,222.45427380011273,86563300
2022-02-10,226.29417419433594,233.1702075147075,224.93483120002207,226.49261389613994,49310400
2022-02-11,217.8404998779297,228.6258569131585,217.06657447768202,226.68112672688727,46156900
2022-02-14,216.0049285888672,219.27923696521253,213.10766627924662,217.6023933189641,38184000
2022-02-15,219.27923583984375,219.4280618443765,213.38548382066563,218.75336377052128,42685500
2022-02-16,214.8539276123047,215.76677745313566,210.70648200582244,210.75609571412514,45817500
2022-02-17,206.09266662597656,215.80642984090412,205.54694618918825,212.35353120264293,38747500
2022-02-18,204.55477905273438,209.10903628047927,203.58239873057371,207.75962504929788,37128400
2022-02-22,200.50653076171875,205.86447827017005,198.50225500397403,200.76450085331822,39852400
2022-02-23,196.90478515625,205.32868403916535,196.5079057737242,202.57033145267047,44481400
2022-02-24,205.98355102539062,206.72771123120492,188.73887367786082,189.5723294747781,49957200
2022-02-25,208.8411102294922,209.67458114367503,201.59794806228433,203.34425365392673,37627600
2022-02-28,209.3868408203125,211.49032886803136,205.21954660842596,206.06291910870078,34239800
2022-03-01,201.9055633544922,210.10124274506424,200.64544776565825,208.2358762173396,27094900
2022-03-02,206.48956298828125,207.52145842115084,200.4469860879729,203.18549004210848,29452100
2022-03-03,201.38958740234375,207.45201285707276,199.85165335697488,207.3924824658934,27263500
2022-03-04,198.50225830078125,204.2868656360038,197.2421427393917,200.7942693856852,32130900
2022-03-07,186.01028442382812,199.32578909187365,185.82176141781613,199.2265616760848,38560600
