strategy,ticker,return,max_drawdown,sharpe,win_rate,trades,profit_factor,avg_trade
RSIReversal,QQQ,-69.88272435792861,-92.09814605394668,-0.33767392964120696,100.0,2,,4.30233324384528
RSIReversal,AMZN,-100.0,-100.0,0.0,14.285714285714285,21,0.017102360334793825,0.0
RSIReversal,MSFT,-33.95604078638513,-96.69056809473045,-0.056653463296232276,100.0,2,,5.033591803414583
RSIReversal,NVDA,-100.0,-100.0,0.0,10.526315789473683,19,0.011513512761659633,0.0
RSIReversal,NFLX,-100.0,-100.0,0.0,30.0,20,0.014988063550414897,0.0
RSIReversal,TSLA,-100.0,-100.0,0.0,15.0,20,0.03647621114143235,0.0
RSIReversal,SPY,1.4591402219361589,-1.5214726268606538,0.3129320563642421,76.92307692307693,13,2.9784547064533924,1.9924535802969157
RSIReversal,GOOGL,-100.0,-100.0,0.0,13.333333333333334,15,0.004354695470681224,0.0
RSIReversal,META,-100.0,-100.0,0.0,0.0,13,0.0,0.0
RSIReversal,AAPL,-68.5849585616185,-91.42144413989148,-0.3315200425230142,100.0,2,,5.283409629859359
RSIMomentum,QQQ,-56.98287905745858,-77.62759990601266,-0.5101538087350306,100.0,2,,3.6838972165273987
RSIMomentum,AMZN,-48.9076540115357,-83.53365030362568,-0.20848218101804802,66.66666666666666,3,3.645950226877416,2.315921012732791
RSIMomentum,MSFT,-26.75568140170726,-85.86950914197938,-0.11139314335438256,100.0,2,,3.0665667377865358
RSIMomentum,NVDA,-100.0,-100.0,0.0,20.0,10,0.08581310981850909,0.0
RSIMomentum,NFLX,-100.0,-100.0,0.0,16.666666666666664,12,0.013614997524096048,0.0
RSIMomentum,TSLA,-36.86538324615478,-82.00376913697426,-0.12114970949227777,100.0,3,,9.687079536831323
RSIMomentum,SPY,1.0300445997240604,-1.981148942616362,0.22581431899583146,76.92307692307693,13,2.34800923354511,1.399555914443562
RSIMomentum,GOOGL,-100.0,-100.0,0.0,25.0,8,0.003783356862130349,0.0
RSIMomentum,META,-100.0,-100.0,0.0,0.0,6,0.0,0.0
RSIMomentum,AAPL,-45.78413368445445,-66.98627540806355,-0.40292229459874424,100.0,2,,7.599817794395891
GoldenCross,QQQ,6.2959440903829265,-3.4021722227015827,0.7097388644453766,100.0,1,,61.96167319333612
GoldenCross,AMZN,5.938456433715837,-5.457196043516566,0.41290032405108634,100.0,2,,60.28408947386712
GoldenCross,MSFT,6.539731183887379,-2.788120471282707,0.7620092653110622,100.0,2,,51.602729629193654
GoldenCross,NVDA,73.72547193233288,-16.129838051753552,0.7790666085692367,100.0,1,,518.0926762771014
GoldenCross,NFLX,22.500986153068553,-12.96006399627988,0.703455942616788,100.0,1,,245.12537737289196
GoldenCross,TSLA,-8.183758080139178,-16.938745708428694,-0.34638227237339875,0.0,1,0.0,-26.178718807257837
GoldenCross,SPY,3.8051924964618045,-2.1720684746494134,0.6783409911952838,100.0,1,,34.572343424399435
GoldenCross,GOOGL,7.43113011917274,-5.052790916664895,0.5628956302278364,100.0,1,,37.32092559236486
GoldenCross,META,19.181470794965115,-9.803257764329487,0.6207337017371723,100.0,2,,245.85840970181567
GoldenCross,AAPL,-2.340692167667948,-5.356606592740776,-0.31507628442009067,66.66666666666666,3,3.2271921349003945,5.544621055633092
DeathCross,QQQ,-4.300015904348856,-6.12219382384761,-0.6829681040468926,0.0,1,0.0,-17.63944729767639
DeathCross,AMZN,-1.2693930321502558,-5.388653001766719,-0.11196244620365962,0.0,1,0.0,-15.645676860908143
DeathCross,MSFT,0.3309978124578447,-2.8897760212275636,0.04736215243140022,66.66666666666666,3,4.277345585394475,5.647988112034041
DeathCross,NVDA,-3.340580865194261,-6.105389672567307,-0.2643544028348496,0.0,1,0.0,-13.000018419255511
DeathCross,NFLX,-7.375274337558767,-10.320416779380515,-0.6260206350688545,0.0,1,0.0,-29.2176245789349
DeathCross,TSLA,-4.187777540283187,-14.204271312833983,-0.15362925059449625,50.0,2,0.912843523192947,-0.23652436429817403
DeathCross,SPY,0.43688442975137154,-1.9195089336056181,0.1111098662936164,50.0,2,3.0671344143032413,5.162659270722569
DeathCross,GOOGL,-6.622148359729745,-10.794376586639453,-0.668414440826748,0.0,1,0.0,-19.816827200607833
DeathCross,META,-0.0659579651203785,-2.076931928494219,-0.02053685596612731,100.0,1,,18.78298756771406
DeathCross,AAPL,1.4949072668410734,-4.116911200944539,0.16622970296859185,100.0,3,,21.76910563534864
MACDCrossover,QQQ,-56.00263844147415,-75.90973247731989,-0.5316805225595561,100.0,2,,6.590399295439209
MACDCrossover,AMZN,-100.0,-100.0,0.0,16.666666666666664,12,0.012908434928563908,0.0
