strategy,ticker,return,max_drawdown,sharpe,trades
SMA5x50,SPY,-61.9667644818097,-73.31845147737673,-0.7386857210172159,4
SMA5x100,SPY,-63.45756835020692,-75.36739546178086,-0.7251663383267405,15
SMA5x200,SPY,-62.21984380868007,-74.5473609316367,-0.7195801326042358,4
SMA10x50,SPY,-61.9667644818097,-73.31845147737673,-0.7386857210172159,4
SMA10x100,SPY,-63.45756835020692,-75.36739546178086,-0.7251663383267405,15
SMA10x200,SPY,-62.21984380868007,-74.5473609316367,-0.7195801326042358,4
SMA15x50,SPY,-61.9667644818097,-73.31845147737673,-0.7386857210172159,4
SMA15x100,SPY,-63.45756835020692,-75.36739546178086,-0.7251663383267405,15
SMA15x200,SPY,-62.21984380868007,-74.5473609316367,-0.7195801326042358,4
SMA20x50,SPY,-61.9667644818097,-73.31845147737673,-0.7386857210172159,4
SMA20x100,SPY,-63.45756835020692,-75.36739546178086,-0.7251663383267405,15
SMA20x200,SPY,-62.21984380868007,-74.5473609316367,-0.7195801326042358,4
SMA30x50,SPY,-61.9667644818097,-73.31845147737673,-0.7386857210172159,4
SMA30x100,SPY,-63.45756835020692,-75.36739546178086,-0.7251663383267405,15
SMA30x200,SPY,-62.21984380868007,-74.5473609316367,-0.7195801326042358,4
BuyDip,SPY,1.846174985909347,-1.073654188785822,0.49324986105200375,19
SellRally,SPY,1.2661379260657668,-0.8850157876012621,0.4865911687898589,14
SMA5x50,QQQ,-100.0,-100.0,0.0,19
SMA5x100,QQQ,-100.0,-100.0,0.0,34
SMA5x200,QQQ,-100.0,-100.0,0.0,21
SMA10x50,QQQ,-100.0,-100.0,0.0,19
SMA10x100,QQQ,-100.0,-100.0,0.0,34
SMA10x200,QQQ,-100.0,-100.0,0.0,21
SMA15x50,QQQ,-100.0,-100.0,0.0,19
SMA15x100,QQQ,-100.0,-100.0,0.0,34
SMA15x200,QQQ,-100.0,-100.0,0.0,21
SMA20x50,QQQ,-100.0,-100.0,0.0,19
SMA20x100,QQQ,-100.0,-100.0,0.0,34
SMA20x200,QQQ,-100.0,-100.0,0.0,21
SMA30x50,QQQ,-100.0,-100.0,0.0,19
SMA30x100,QQQ,-100.0,-100.0,0.0,34
SMA30x200,QQQ,-100.0,-100.0,0.0,21
EMA8x26,QQQ,-100.0,-100.0,0.0,16
EMA8x50,QQQ,-100.0,-100.0,0.0,16
EMA8x100,QQQ,-100.0,-100.0,0.0,16
EMA12x26,QQQ,-100.0,-100.0,0.0,16
EMA12x50,QQQ,-100.0,-100.0,0.0,16
EMA12x100,QQQ,-100.0,-100.0,0.0,16
EMA15x26,QQQ,-100.0,-100.0,0.0,16
EMA15x50,QQQ,-100.0,-100.0,0.0,16
EMA15x100,QQQ,-100.0,-100.0,0.0,16
EMA20x26,QQQ,-100.0,-100.0,0.0,16
EMA20x50,QQQ,-100.0,-100.0,0.0,16
EMA20x100,QQQ,-100.0,-100.0,0.0,16
BuyDip,QQQ,-100.0,-100.0,0.0,17
SellRally,QQQ,-100.0,-100.0,0.0,19
SMA5x50,AAPL,-100.0,-100.0,0.0,16
SMA5x100,AAPL,-100.0,-100.0,0.0,25
SMA5x200,AAPL,-100.0,-100.0,0.0,36
SMA10x50,AAPL,-100.0,-100.0,0.0,16
SMA10x100,AAPL,-100.0,-100.0,0.0,25
SMA10x200,AAPL,-100.0,-100.0,0.0,36
SMA15x50,AAPL,-100.0,-100.0,0.0,16
SMA15x100,AAPL,-100.0,-100.0,0.0,25
SMA15x200,AAPL,-100.0,-100.0,0.0,36
SMA20x50,AAPL,-100.0,-100.0,0.0,16
SMA20x100,AAPL,-100.0,-100.0,0.0,25
SMA20x200,AAPL,-100.0,-100.0,0.0,36
SMA30x50,AAPL,-100.0,-100.0,0.0,16
SMA30x100,AAPL,-100.0,-100.0,0.0,25
SMA30x200,AAPL,-100.0,-100.0,0.0,36
EMA8x26,AAPL,-100.0,-100.0,0.0,20
EMA8x50,AAPL,-100.0,-100.0,0.0,20
EMA8x100,AAPL,-100.0,-100.0,0.0,20
EMA12x26,AAPL,-100.0,-100.0,0.0,20
EMA12x50,AAPL,-100.0,-100.0,0.0,20
EMA12x100,AAPL,-100.0,-100.0,0.0,20
EMA15x26,AAPL,-100.0,-100.0,0.0,20
EMA15x50,AAPL,-100.0,-100.0,0.0,20
EMA15x100,AAPL,-100.0,-100.0,0.0,20
EMA20x26,AAPL,-100.0,-100.0,0.0,20
EMA20x50,AAPL,-100.0,-100.0,0.0,20
EMA20x100,AAPL,-100.0,-100.0,0.0,20
BuyDip,AAPL,-75.45422484048228,-98.61931251237174,-0.18259460542208503,3
SellRally,AAPL,-100.0,-100.0,0.0,25
SMA5x50,MSFT,-100.0,-100.0,0.0,18
SMA5x100,MSFT,-100.0,-100.0,0.0,50
SMA5x200,MSFT,-100.0,-100.0,0.0,23
SMA10x50,MSFT,-100.0,-100.0,0.0,18
SMA10x100,MSFT,-100.0,-100.0,0.0,50
SMA10x200,MSFT,-100.0,-100.0,0.0,23
SMA15x50,MSFT,-100.0,-100.0,0.0,18
SMA15x100,MSFT,-100.0,-100.0,0.0,50
SMA15x200,MSFT,-100.0,-100.0,0.0,23
SMA20x50,MSFT,-100.0,-100.0,0.0,18
SMA20x100,MSFT,-100.0,-100.0,0.0,50
SMA20x200,MSFT,-100.0,-100.0,0.0,23
SMA30x50,MSFT,-100.0,-100.0,0.0,18
SMA30x100,MSFT,-100.0,-100.0,0.0,50
SMA30x200,MSFT,-100.0,-100.0,0.0,23
EMA8x26,MSFT,-100.0,-100.0,0.0,14
EMA8x50,MSFT,-100.0,-100.0,0.0,14
EMA8x100,MSFT,-100.0,-100.0,0.0,14
EMA12x26,MSFT,-100.0,-100.0,0.0,14
EMA12x50,MSFT,-100.0,-100.0,0.0,14
EMA12x100,MSFT,-100.0,-100.0,0.0,14
EMA15x26,MSFT,-100.0,-100.0,0.0,14
EMA15x50,MSFT,-100.0,-100.0,0.0,14
EMA15x100,MSFT,-100.0,-100.0,0.0,14
EMA20x26,MSFT,-100.0,-100.0,0.0,14
EMA20x50,MSFT,-100.0,-100.0,0.0,14
EMA20x100,MSFT,-100.0,-100.0,0.0,14
BuyDip,MSFT,-100.0,-100.0,0.0,14
SellRally,MSFT,-100.0,-100.0,0.0,23
SMA5x50,GOOGL,-100.0,-100.0,0.0,46
SMA5x100,GOOGL,-100.0,-100.0,0.0,57
SMA5x200,GOOGL,-100.0,-100.0,0.0,53
SMA10x50,GOOGL,-100.0,-100.0,0.0,46
SMA10x100,GOOGL,-100.0,-100.0,0.0,57
SMA10x200,GOOGL,-100.0,-100.0,0.0,53
SMA15x50,GOOGL,-100.0,-100.0,0.0,46
SMA15x100,GOOGL,-100.0,-100.0,0.0,57
SMA15x200,GOOGL,-100.0,-100.0,0.0,53
SMA20x50,GOOGL,-100.0,-100.0,0.0,46
SMA20x100,GOOGL,-100.0,-100.0,0.0,57
SMA20x200,GOOGL,-100.0,-100.0,0.0,53
SMA30x50,GOOGL,-100.0,-100.0,0.0,46
SMA30x100,GOOGL,-100.0,-100.0,0.0,57
SMA30x200,GOOGL,-100.0,-100.0,0.0,53
EMA8x26,GOOGL,-100.0,-100.0,0.0,40
EMA8x50,GOOGL,-100.0,-100.0,0.0,40
EMA8x100,GOOGL,-100.0,-100.0,0.0,40
EMA12x26,GOOGL,-100.0,-100.0,0.0,40
EMA12x50,GOOGL,-100.0,-100.0,0.0,40
EMA12x100,GOOGL,-100.0,-100.0,0.0,40
EMA15x26,GOOGL,-100.0,-100.0,0.0,40
EMA15x50,GOOGL,-100.0,-100.0,0.0,40
